Date,Time,Town/Village,County,Description
08-Feb-04,21:45,Ely,Cambridgeshire,"Four lights, one brighter than the others, sometimes fading."
14-Jan-05,00:24,Leeds,West Yorkshire,"Two bright lights, really round, and orange in colour."
10-Jan-05,,Scarborough,North Yorkshire,The object was like a big silver ball/light that was seen in the sky and it then moved off at speed to the North East. Seen night time.
14-Jan-05,,St Clements,Cornwall,A bright light was seen heading towards the earth through the clouds.
15-Jan-05,23:15,Stoke-on-Trent,Staffordshire,Just said it was a flying saucer.
19-Jan-05,18:45,,Shropshire,Lights seen in the sky.
19-Jan-05,18:50,,Shropshire,Beam of light seen.
19-Jan-05,18:35,,Shropshire,Beam of light seen.
24-Jan-05,23:10,Portadown,Northern Ireland,There were eighteen lights moving across the sky.
31-Jan-05,05:00,Port Talbot,West Glamorgan,"Looked like an orange ball of light, like a big star in the sky and it had spiderish legs."
31-Jan-05,16:30,Scarborough,North Yorkshire,Light bulbs in the sky. (From the Scarborough Evening Post).
24-Jan-06,16:20,,,An object was moving across the sky and looked like it was on fire. It was cigar shaped and silver in colour.
30-Jan-06,06:00,Shrewsbury,Shropshire,A light was seen travelling rapidly due South West.
07-Feb-06,14:08,Colchester,Essex,"Four lights in the sky, a bit like fluorescent light strips, with a yellow tinge and very bright, were floating and then disappeared."
10-Feb-06,19:20,Marlborough,Wiltshire,"A light was seen that was a flashing ball, changing colour from red, orange, green and blue. Was hovering for about 30 minutes."
15-Feb-06,20:40,Mitcham,Surrey,"Two bright lights, which were then joined by a third bright light, which then flew along side them."
16-Feb-06,21:25,Pegwell Bay/Ramsgate,Kent,"A UFO, Shooting Star or something was seen, couldn't really make out what it was! Was bright blue/white in colour."
21-Feb-06,19:45,,Scotland,"A blue ball of light, with a tail at the end."
28-Feb-06,22:00,Crewe,Cheshire,Very bright lights were seen for over half an hour. They were hovering quite slowly from side to side.
03-Mar-06,,Streatham,London,Two objects were seen in the sky.
05-Mar-06,17:35,Hemel Hempstead,Bedfordshire,A disc was seen flying above two aircraft.
03-Jan-07,22:08,,,Objects were seen in the sky towards the moon.
06-Jan-07,,,,A UFO.
16-Jan-07,20:45,Llanpumsaint,Carmarthenshire,"Ball of light that faded away, then came back again. Orange ball was near the car."
01-Feb-07,17:25,Archway/Islington,London,"Twelve - fifteen orange balls of light seen moving across the sky. Moved upwards, then faded away."
03-Feb-07,,,,
24-Jan-07,16:20,,,An object was moving across the sky and looked like it was on fire. It was cigar shaped and silver in colour.
30-Jan-07,06:00,Shrewsbury,Shropshire,A light was seen travelling rapidly due South West.
07-Feb-07,14:08,Colchester,Essex,"Four lights in the sky, a bit like fluorescent light strips, with a yellow tinge and very bright, were floating and then disappeared."
10-Feb-07,19:20,Marlborough,Wiltshire,"A light was seen that was a flashing ball, changing colour from red, orange, green and blue. Was hovering for about 30 minutes."
15-Feb-07,20:40,Mitcham,Surrey,"Two bright lights, which were then joined by a third bright light, which then flew along side them."
